account_number,customer_id,branch_id,account_type_id,balance,open_date,account_status,last_transaction_date
100000000053,34,114,2,263277,2019-01-29,Active,2024-05-03
100000000054,35,99,3,73801,2024-08-11,Active,2025-10-08
100000000055,35,118,2,750431,2017-02-28,Active,2024-09-25
100000000056,36,61,1,292314,2019-03-30,Active,2019-08-30
100000000057,37,62,1,255651,2024-07-24,Active,2026-06-01
100000000058,37,86,1,29911,2017-04-20,Inactive,2020-09-02
100000000059,38,68,1,20391,2020-09-24,Active,2022-01-26
100000000060,38,6,4,945776,2018-02-08,Active,2018-06-09
100000000061,39,2,2,991024,2018-11-18,Inactive,2020-09-05
100000000062,39,16,1,197476,2018-01-13,Active,2019-01-30
100000000063,39,113,1,59390,2020-10-12,Active,2021-05-07
100000000064,40,21,1,105661,2023-05-05,Active,2023-07-01
100000000065,40,92,1,85448,2025-09-11,Active,2026-02-23
100000000066,41,20,1,111803,2024-07-26,Active,2025-07-10
100000000067,42,67,1,13353,2022-05-07,Active,2025-04-21
100000000068,42,57,1,27109,2024-03-24,Active,2026-06-15
100000000069,43,49,1,265662,2019-10-21,Active,2024-12-17
100000000070,43,35,1,233529,2026-05-13,Active,2026-06-06
100000000071,43,117,1,159101,2023-08-10,Active,2024-03-22
100000000072,44,31,1,19430,2020-01-19,Active,2023-07-24
100000000073,44,54,3,46147,2017-10-26,Active,2022-05-24
100000000074,44,101,1,189766,2023-04-27,Active,2024-06-04
100000000075,45,3,1,276678,2018-02-11,Active,2019-09-25
100000000076,45,64,1,181842,2020-05-16,Active,2020-10-10
100000000077,46,120,1,43935,2023-02-22,Active,2024-04-18
100000000078,46,80,2,1239571,2016-07-19,Active,2021-02-28
100000000079,47,21,1,213490,2021-09-05,Active,2021-12-31
100000000080,47,64,3,193445,2016-12-11,Active,2026-06-11
100000000081,48,96,1,134443,2021-07-06,Active,2023-06-26
100000000082,48,32,1,115841,2023-05-09,Active,2023-05-24
100000000083,49,29,1,151740,2017-11-11,Active,2021-08-06
100000000084,50,77,3,106600,2021-07-27,Active,2021-10-06
100000000085,50,115,1,185435,2017-12-23,Active,2023-12-23
100000000086,50,111,2,172418,2022-01-05,Active,2025-10-16
100000000087,51,52,1,166953,2017-01-27,Inactive,2020-03-17
100000000088,51,11,1,7393,2017-12-04,Inactive,2018-04-24
100000000089,52,106,2,1479648,2022-07-01,Active,2026-02-04
100000000090,52,120,2,1336855,2025-12-03,Active,2026-01-27
100000000091,53,113,1,294907,2019-03-16,Active,2025-02-17
100000000092,54,12,2,672695,2016-07-22,Active,2016-10-14
100000000093,55,44,1,114431,2021-12-10,Active,2026-04-04
100000000094,55,65,1,86643,2023-03-30,Inactive,2023-12-26
100000000095,56,73,1,218130,2022-12-22,Active,2024-08-06
100000000096,57,114,1,47143,2024-02-06,Active,2024-12-05
100000000097,58,77,1,241264,2020-02-12,Active,2021-06-26
100000000098,59,92,1,239827,2026-04-23,Active,2026-06-15
100000000099,60,106,3,123933,2021-02-08,Active,2021-09-23
100000000100,60,52,1,209174,2024-04-13,Active,2024-11-10
100000000101,61,19,2,1230476,2023-12-11,Inactive,2026-06-06
100000000102,61,31,3,236851,2026-06-11,Active,2026-06-23
100000000103,62,68,2,879805,2018-05-23,Active,2023-12-07
100000000104,62,92,3,100795,2021-08-14,Active,2022-09-08
100000000105,63,100,1,297633,2018-05-24,Active,2023-04-27
100000000106,63,3,1,272432,2020-04-18,Active,2020-09-11
100000000107,64,10,1,121063,2023-03-13,Active,2025-02-22
100000000108,64,67,1,204670,2023-10-25,Active,2025-04-22
100000000109,65,97,3,125228,2017-12-27,Active,2019-03-03
100000000110,65,36,1,187275,2017-04-17,Active,2024-10-20
100000000111,66,70,1,207912,2023-08-01,Active,2023-09-01
100000000112,67,57,1,256789,2026-02-16,Active,2026-03-17
100000000113,68,46,2,1327119,2024-09-04,Active,2024-11-25
100000000114,69,52,1,69380,2018-01-02,Active,2020-07-02
100000000115,70,91,2,586306,2018-02-15,Active,2022-11-05
100000000116,70,116,1,241145,2026-02-21,Active,2026-03-21
100000000117,71,87,4,2970494,2018-11-21,Active,2025-05-06
100000000118,72,74,2,716175,2025-12-08,Active,2026-02-02
100000000119,72,42,1,155391,2019-05-25,Active,2022-06-10
100000000120,73,57,1,87189,2026-02-15,Active,2026-04-29
100000000121,73,44,4,2006909,2018-04-10,Active,2023-10-07
100000000122,73,52,1,251827,2024-09-27,Active,2025-06-04
100000000123,74,30,1,132360,2018-06-22,Active,2024-03-14
100000000124,75,72,1,259085,2024-07-12,Active,2026-06-22
100000000125,75,44,1,152009,2021-04-16,Active,2023-03-21
100000000126,76,62,1,207214,2022-06-05,Active,2023-05-26
100000000127,77,52,1,19601,2017-02-04,Active,2017-05-03
100000000128,77,45,2,708282,2020-04-29,Active,2024-08-19
100000000129,78,17,1,100794,2018-06-04,Active,2023-01-31
100000000130,78,26,2,191690,2018-01-05,Active,2019-01-28
100000000131,78,71,1,297967,2024-06-26,Active,2025-10-29
100000000132,79,51,2,1262155,2017-05-21,Active,2025-07-08
100000000133,80,75,1,236781,2022-06-16,Active,2024-08-17
100000000134,81,94,2,115176,2024-08-15,Active,2025-01-20
100000000135,82,95,1,242986,2024-11-16,Active,2024-12-22
100000000136,82,119,1,23325,2025-02-10,Active,2026-05-12
100000000137,82,119,1,60134,2020-11-08,Active,2021-02-07
100000000138,83,71,3,208794,2025-06-09,Active,2025-08-30
100000000139,84,97,1,183146,2019-08-18,Active,2019-12-18
100000000140,84,98,3,191790,2026-05-04,Active,2026-05-26
100000000141,85,70,2,1381416,2024-05-18,Inactive,2026-06-23
100000000142,86,64,1,140994,2016-09-08,Active,2018-08-16
100000000143,86,86,1,243945,2020-04-16,Active,2023-05-31
100000000144,87,51,2,838891,2021-12-17,Active,2022-12-25
100000000145,87,24,2,41540,2021-08-09,Active,2022-06-27
100000000146,88,21,2,409651,2021-09-17,Active,2024-04-21
100000000147,88,40,3,174135,2023-12-12,Active,2024-10-05
100000000148,89,43,1,271800,2022-01-14,Active,2022-10-15
100000000149,90,96,1,156118,2019-03-02,Active,2022-01-31
100000000150,90,115,3,50242,2019-02-10,Active,2020-09-28
100000000151,91,116,1,178556,2023-09-17,Active,2024-01-22
100000000152,91,65,1,23782,2017-12-28,Active,2023-05-08
100000000153,92,96,2,1490662,2019-12-19,Active,2022-08-21
100000000154,92,9,1,163379,2021-01-20,Active,2022-05-08
100000000155,93,110,3,169329,2018-05-21,Active,2022-02-27
100000000156,93,86,1,7937,2016-10-09,Active,2020-04-02
100000000157,94,99,4,2294764,2025-05-02,Active,2025-09-05
100000000158,94,94,3,196837,2024-07-14,Active,2026-02-10
100000000159,95,22,1,244503,2017-03-21,Active,2026-06-12
100000000160,95,114,1,13816,2024-01-05,Active,2025-07-02
100000000161,96,8,1,104029,2016-08-16,Active,2018-01-14
100000000162,97,15,2,468523,2024-12-16,Active,2025-02-01
100000000163,98,21,1,261134,2023-09-26,Active,2025-05-10
100000000164,99,97,1,227762,2019-02-20,Active,2020-10-15
100000000165,99,33,2,1441525,2023-12-01,Active,2024-09-06
100000000166,100,112,1,59239,2019-12-27,Active,2022-04-01
100000000167,101,109,2,1111508,2020-10-23,Active,2022-08-29
100000000168,102,105,1,263866,2021-07-02,Active,2024-11-26
100000000169,103,47,1,189891,2023-03-03,Active,2024-04-09
100000000170,103,23,1,24330,2022-03-07,Active,2022-05-31
100000000171,103,36,1,13004,2021-01-10,Active,2023-01-28
100000000172,104,26,2,59304,2025-05-03,Active,2025-09-16
100000000173,105,20,1,152861,2017-05-24,Active,2024-06-20
100000000174,105,105,1,240228,2018-01-29,Active,2024-03-14
100000000175,106,82,1,133576,2022-06-30,Active,2023-01-01
100000000176,106,106,2,1246826,2019-05-21,Active,2026-01-30
100000000177,107,38,1,101966,2024-07-15,Active,2025-04-28
100000000178,107,5,2,512471,2020-02-20,Inactive,2025-10-06
100000000179,108,45,1,15648,2025-04-25,Active,2025-10-27
100000000180,109,83,2,570483,2023-05-15,Active,2023-06-17
100000000181,110,120,1,135054,2024-06-07,Active,2026-03-20
100000000182,111,81,1,57792,2022-03-28,Active,2022-07-27
100000000183,111,5,1,97765,2021-01-02,Active,2025-04-01
100000000184,112,51,3,235779,2017-05-04,Active,2018-08-08
100000000185,113,94,2,1182460,2022-07-20,Active,2022-09-22
100000000186,113,13,1,204811,2020-11-22,Active,2025-11-02
100000000187,114,10,1,220687,2024-04-15,Active,2025-07-07
100000000188,114,43,1,103944,2025-07-31,Active,2026-01-01
100000000189,115,42,3,219730,2022-09-09,Active,2024-01-26
100000000190,116,58,1,226015,2019-03-06,Active,2020-03-31
100000000191,116,61,1,222533,2019-08-16,Active,2022-07-07
100000000192,117,54,3,218868,2024-11-22,Active,2025-09-28
100000000193,118,70,4,1138512,2023-06-15,Active,2024-07-02
100000000194,119,79,1,288772,2024-12-28,Active,2025-03-13
100000000195,119,65,2,1410372,2025-07-12,Active,2025-10-02
100000000196,119,107,1,281591,2019-07-04,Active,2020-02-28
100000000197,120,86,1,10472,2020-09-05,Active,2021-05-13
100000000198,120,76,4,2424093,2016-10-27,Active,2021-08-01
100000000199,121,34,1,145741,2024-09-16,Active,2025-03-05
100000000200,122,91,1,282641,2022-03-14,Active,2025-08-28
100000000201,123,72,1,79852,2017-04-10,Active,2021-12-02
100000000202,124,37,2,632844,2024-08-07,Active,2025-05-01
100000000203,125,10,4,4597178,2022-05-03,Active,2026-02-14
100000000204,126,86,3,194170,2017-09-26,Active,2026-05-25
100000000205,126,46,1,220245,2021-05-25,Active,2022-09-28
100000000206,127,65,1,299811,2022-11-14,Active,2024-03-07
100000000207,128,1,1,11085,2020-06-21,Active,2023-11-26
100000000208,128,3,1,132927,2023-11-22,Active,2024-01-22
100000000209,129,96,1,70325,2016-07-30,Active,2021-02-28
100000000210,130,102,1,250942,2017-11-20,Active,2019-07-25
100000000211,131,89,1,45445,2021-03-09,Active,2024-10-14
100000000212,132,111,1,239197,2024-08-26,Active,2025-10-13
100000000213,133,53,2,468101,2021-03-24,Active,2025-12-05
100000000214,133,71,2,134746,2017-03-24,Active,2025-08-29
100000000215,134,6,1,123723,2021-10-17,Active,2023-05-06
100000000216,134,105,4,3724184,2017-12-20,Inactive,2019-07-06
100000000217,135,18,2,470152,2024-11-05,Active,2026-02-24
100000000218,135,40,1,106756,2020-01-19,Active,2024-07-21
100000000219,136,52,1,175179,2017-12-14,Active,2023-09-19
100000000220,137,79,2,1193459,2019-02-24,Active,2022-08-08
100000000221,137,50,1,220969,2025-02-11,Active,2025-03-13
100000000222,138,7,1,227150,2023-03-25,Active,2024-08-21
100000000223,139,116,2,448784,2023-06-01,Active,2024-03-02
100000000224,140,36,1,58662,2026-01-27,Active,2026-04-21
100000000225,140,24,2,458463,2020-09-17,Active,2025-11-03
100000000226,140,87,1,271106,2017-11-13,Active,2025-07-09
100000000227,141,106,1,113460,2022-10-06,Active,2022-10-08
100000000228,142,67,2,870469,2021-05-27,Active,2025-01-01
100000000229,143,56,1,28729,2016-08-29,Active,2024-04-29
100000000230,144,5,1,148523,2021-05-23,Active,2023-01-27
100000000231,145,66,2,818847,2024-02-14,Active,2026-03-14
100000000232,145,57,3,237865,2025-06-29,Active,2026-05-23
100000000233,146,19,1,235254,2018-08-21,Active,2022-08-28
100000000234,147,12,1,136905,2018-11-23,Active,2020-08-21
100000000235,147,90,1,21803,2021-05-17,Active,2024-09-07
100000000236,148,56,1,217013,2016-08-27,Active,2017-01-29
100000000237,149,15,4,2204560,2023-04-29,Active,2023-10-18
100000000238,150,12,1,268191,2026-04-27,Active,2026-05-20
100000000239,151,89,4,2268818,2018-12-07,Active,2026-01-14
100000000240,151,109,1,53984,2020-08-02,Active,2024-08-12
100000000241,152,29,1,31025,2019-06-11,Active,2022-12-05
100000000242,153,75,2,1345926,2021-10-05,Active,2024-04-14
100000000243,154,99,1,36168,2025-06-03,Active,2026-03-31
100000000244,154,90,1,109863,2023-01-16,Inactive,2024-09-11
100000000245,155,19,4,4987244,2026-04-15,Active,2026-06-23
100000000246,155,42,2,918434,2024-07-25,Active,2024-10-23
100000000247,156,99,3,10288,2025-12-30,Active,2026-04-19
100000000248,157,115,3,28431,2018-11-17,Active,2019-02-25
100000000249,157,48,1,52554,2025-03-06,Inactive,2025-04-20
100000000250,158,55,1,100508,2016-11-05,Active,2025-07-01
100000000251,158,8,1,230836,2023-10-14,Active,2025-06-06
100000000252,159,73,1,28377,2023-01-01,Active,2023-12-10
100000000253,160,87,3,245423,2016-11-05,Active,2018-10-10
100000000254,161,110,1,135137,2017-10-07,Active,2021-07-26
100000000255,162,120,1,144805,2022-12-24,Inactive,2024-02-12
100000000256,162,12,1,38154,2021-10-09,Active,2026-03-09
100000000257,163,29,1,264884,2019-04-09,Active,2024-07-03
100000000258,164,32,1,170549,2024-08-17,Active,2025-12-06
100000000259,164,57,3,218196,2025-11-29,Active,2026-04-20
100000000260,165,47,1,229682,2022-06-01,Active,2023-11-27
100000000261,165,87,2,762013,2023-06-09,Inactive,2024-08-14
100000000262,165,104,1,95427,2017-10-04,Active,2024-12-09
100000000263,166,83,2,1449579,2020-06-13,Active,2023-09-28
100000000264,166,102,1,172009,2016-07-04,Active,2021-06-15
100000000265,166,19,1,84981,2025-09-26,Active,2025-10-09
100000000266,167,86,2,114942,2022-11-03,Active,2026-01-24
100000000267,168,15,1,203955,2024-09-02,Active,2025-07-18
100000000268,168,80,2,342967,2020-10-29,Active,2024-07-21
100000000269,169,56,1,289083,2018-11-06,Active,2024-10-29
100000000270,169,21,4,3739652,2024-11-29,Active,2026-03-28
100000000271,169,112,4,4290499,2022-08-11,Active,2023-11-07
100000000272,170,25,1,28778,2016-09-10,Active,2017-12-29
100000000273,171,53,1,106029,2023-02-28,Active,2023-09-06
100000000274,172,53,1,112060,2025-05-18,Active,2026-03-23
100000000275,172,111,2,102435,2020-01-26,Active,2025-09-12
100000000276,173,82,1,286470,2019-03-31,Active,2021-07-16
100000000277,173,106,1,280640,2017-05-06,Active,2018-01-07
100000000278,173,120,1,172414,2018-01-28,Active,2022-07-25
100000000279,174,91,3,54301,2024-02-29,Active,2025-08-17
100000000280,174,105,2,1155374,2016-12-08,Active,2022-11-10
100000000281,174,29,2,138485,2019-12-07,Active,2025-07-03
100000000282,175,56,1,78532,2022-02-23,Active,2024-03-27
100000000283,175,72,1,59642,2026-04-09,Active,2026-05-07
100000000284,176,86,1,106833,2025-04-25,Inactive,2025-12-03
100000000285,177,40,1,192743,2021-11-12,Active,2024-08-04
100000000286,178,55,2,1303369,2021-10-29,Active,2024-01-31
100000000287,178,39,1,28878,2018-03-29,Active,2019-07-29
100000000288,178,19,1,294836,2021-10-13,Active,2025-07-16
100000000289,179,109,4,4232813,2025-02-18,Active,2026-06-25
100000000290,179,49,1,168572,2020-06-20,Active,2022-06-16
100000000291,180,7,1,146112,2020-08-13,Active,2023-06-27
100000000292,181,24,2,37114,2018-12-29,Active,2022-05-13
100000000293,182,18,1,126052,2024-07-05,Active,2025-07-03
100000000294,183,104,1,230698,2018-11-29,Active,2022-05-03
100000000295,184,4,1,267811,2022-07-02,Active,2025-04-21
100000000296,184,10,1,26285,2019-06-07,Active,2025-08-08
100000000297,185,18,1,38154,2020-08-19,Active,2025-11-27
100000000298,186,9,1,72918,2020-05-29,Active,2026-06-30
100000000299,187,86,1,282746,2021-05-02,Active,2023-10-02
100000000300,187,83,3,11361,2024-09-29,Active,2025-05-19
100000000301,188,56,1,150557,2026-01-19,Active,2026-05-22
100000000302,188,112,4,3571920,2021-04-09,Active,2026-03-10
100000000303,189,80,1,47328,2022-04-05,Inactive,2022-05-22
100000000304,190,34,2,240130,2022-12-27,Active,2025-08-20
100000000305,191,28,2,1377921,2023-01-23,Active,2025-06-11
100000000306,191,70,2,911289,2023-09-30,Active,2025-10-17
100000000307,192,101,2,830698,2021-04-27,Active,2025-09-15
100000000308,192,54,1,217644,2023-06-10,Active,2023-07-23
100000000309,192,48,2,1056870,2025-06-07,Active,2026-04-17
100000000310,193,25,1,170287,2018-11-27,Active,2021-09-11
100000000311,193,108,1,167861,2021-03-17,Active,2024-03-06
100000000312,194,51,1,56449,2022-11-18,Active,2024-09-09
100000000313,194,110,1,109789,2018-07-11,Inactive,2023-06-16
100000000314,195,13,1,71886,2019-08-11,Active,2025-11-25
100000000315,196,72,2,785281,2018-08-17,Active,2024-08-27
100000000316,197,104,1,10755,2018-07-12,Active,2019-03-23
100000000317,198,52,2,1138582,2024-06-10,Active,2024-10-09
100000000318,198,84,1,43029,2019-11-28,Active,2021-05-14
100000000319,199,87,2,1426315,2017-07-20,Active,2025-10-07
100000000320,200,114,2,766126,2024-03-26,Inactive,2025-07-13
100000000321,201,51,2,854839,2017-09-20,Active,2024-06-15
100000000322,202,14,3,137469,2018-03-12,Active,2021-01-15
100000000323,203,87,1,109668,2024-11-25,Active,2026-04-09
100000000324,203,114,1,257319,2024-01-09,Active,2025-12-21
100000000325,204,112,4,2864528,2026-05-04,Active,2026-06-01
100000000326,204,91,1,13501,2025-11-03,Active,2026-06-11
100000000327,205,56,1,79059,2017-04-10,Active,2019-10-19
100000000328,206,56,4,3134987,2017-09-07,Active,2018-02-07
100000000329,206,19,3,239944,2024-03-22,Active,2024-07-30
100000000330,207,88,2,689576,2021-11-24,Active,2022-01-13
100000000331,207,44,3,179725,2026-04-08,Active,2026-04-11
100000000332,208,3,1,262267,2025-10-08,Active,2026-05-11
100000000333,208,55,1,214336,2018-04-16,Active,2022-10-01
100000000334,209,13,1,190809,2018-03-03,Active,2018-12-13
100000000335,209,74,1,213687,2022-05-30,Active,2025-10-18
100000000336,210,13,1,68777,2023-12-09,Active,2026-04-11
100000000337,210,54,1,114747,2018-03-28,Active,2020-09-19
100000000338,211,2,1,272523,2016-07-25,Active,2022-05-06
100000000339,212,118,1,175195,2016-11-17,Active,2024-08-23
100000000340,213,101,3,99415,2019-08-04,Active,2025-10-24
100000000341,214,36,2,386663,2017-05-09,Active,2024-06-24
100000000342,214,75,1,54209,2017-07-16,Active,2023-04-16
100000000343,214,96,1,158673,2020-11-29,Active,2025-02-28
100000000344,215,79,1,80112,2018-01-27,Active,2018-07-07
100000000345,215,57,1,224182,2024-04-02,Active,2026-04-14
100000000346,216,89,1,13025,2020-10-09,Active,2022-10-02
100000000347,216,39,1,154602,2023-02-22,Active,2023-04-23
100000000348,216,99,2,973150,2025-11-30,Active,2026-05-03
100000000349,217,102,1,190257,2026-02-15,Active,2026-02-16
100000000350,217,13,1,170894,2018-03-26,Active,2020-08-10
100000000351,218,11,1,94704,2019-08-26,Active,2025-07-06
100000000352,218,11,1,180714,2023-02-11,Active,2023-02-11
100000000353,219,78,1,110138,2019-08-30,Active,2023-03-13
100000000354,220,24,1,254914,2019-04-01,Active,2024-11-23
100000000355,220,16,1,75025,2026-03-14,Active,2026-04-24
100000000356,221,46,2,194841,2021-10-15,Active,2023-08-27
100000000357,221,83,4,333128,2017-09-18,Active,2020-02-13
100000000358,222,63,1,290110,2025-02-27,Active,2025-04-13
100000000359,222,83,1,165104,2025-11-10,Active,2026-03-19
100000000360,223,60,1,87576,2018-03-17,Active,2025-04-04
100000000361,224,91,1,132526,2026-06-08,Active,2026-06-21
100000000362,224,64,4,1442073,2019-10-05,Active,2020-08-05
100000000363,225,75,1,139238,2023-04-24,Active,2025-10-15
100000000364,225,112,1,269230,2022-02-17,Inactive,2022-07-29
100000000365,226,83,1,51882,2022-05-10,Active,2024-01-23
100000000366,226,83,3,189344,2017-02-09,Active,2025-08-29
100000000367,227,19,2,281731,2021-11-11,Active,2023-10-03
100000000368,227,83,1,65208,2022-04-15,Active,2025-06-06
100000000369,228,59,1,118818,2021-08-22,Active,2026-05-22
100000000370,229,87,1,103344,2019-06-02,Active,2019-12-13
100000000371,229,34,1,80813,2025-11-12,Active,2026-05-11
100000000372,230,38,1,272579,2022-11-28,Active,2023-05-27
100000000373,230,82,1,245324,2016-08-05,Active,2017-03-04
100000000374,231,103,3,244534,2022-02-07,Active,2024-05-18
100000000375,232,57,2,1419912,2025-12-30,Active,2026-06-25
100000000376,233,13,3,193156,2025-05-02,Active,2026-06-01
100000000377,234,82,1,20930,2025-11-03,Active,2026-01-06
100000000378,234,106,1,255622,2024-04-09,Active,2024-06-21
100000000379,235,50,1,130534,2019-05-14,Active,2020-03-02
100000000380,235,40,1,245014,2026-03-20,Active,2026-03-23
100000000381,236,59,3,246120,2022-10-01,Active,2025-02-18
100000000382,237,10,2,302455,2016-12-01,Active,2022-01-10
100000000383,237,93,1,273323,2025-06-26,Active,2026-01-02
100000000384,238,61,1,222386,2019-09-18,Active,2025-01-27
100000000385,239,84,1,62966,2017-07-11,Active,2023-08-30
100000000386,239,41,1,20899,2020-04-15,Active,2026-05-21
100000000387,240,98,1,82339,2020-02-20,Active,2023-12-18
100000000388,241,10,1,121170,2018-05-10,Inactive,2019-05-02
100000000389,241,45,2,1164542,2024-04-30,Active,2024-06-25
100000000390,242,118,1,223473,2024-10-23,Active,2025-02-22
100000000391,242,78,1,131869,2023-10-23,Active,2025-10-10
100000000392,243,89,1,217383,2024-01-21,Active,2025-11-11
100000000393,244,119,2,672487,2024-10-07,Active,2026-01-07
100000000394,244,60,1,222800,2020-10-31,Active,2025-01-17
100000000395,245,18,2,1314943,2017-08-16,Active,2021-11-23
100000000396,246,19,3,173858,2022-10-23,Active,2024-06-13
100000000397,247,35,2,1030465,2019-09-22,Active,2020-08-08
100000000398,248,103,1,144319,2025-09-10,Active,2025-11-30
100000000399,248,19,1,146570,2017-09-22,Active,2018-03-28
100000000400,248,46,1,247675,2022-02-09,Active,2023-09-24
100000000401,249,83,1,251202,2017-04-24,Active,2024-02-08
100000000402,250,28,1,86050,2024-11-25,Active,2026-03-26
100000000403,250,65,1,71139,2025-04-19,Active,2025-05-19
100000000404,251,85,1,202343,2020-11-28,Active,2023-11-28
100000000405,251,67,1,174862,2022-09-19,Active,2023-01-21
100000000406,251,54,2,539462,2017-11-09,Active,2018-06-26
100000000407,252,114,1,291287,2021-11-08,Active,2023-05-04
100000000408,252,74,1,49836,2024-09-10,Active,2024-09-21
100000000409,253,43,2,1241062,2026-03-11,Active,2026-06-13
100000000410,253,91,1,21684,2021-03-26,Active,2022-01-20
100000000411,254,26,2,884125,2024-01-24,Inactive,2024-02-22
100000000412,254,32,1,7032,2022-12-07,Active,2023-10-09
100000000413,254,42,1,235549,2025-07-19,Active,2025-08-12
100000000414,255,58,2,1473990,2021-04-19,Active,2022-07-30
100000000415,256,96,1,54606,2018-04-26,Active,2024-08-06
100000000416,256,28,2,67714,2024-02-18,Active,2025-03-04
100000000417,257,23,1,120590,2016-07-14,Active,2026-01-22
100000000418,257,28,1,32728,2018-02-08,Active,2023-01-30
100000000419,258,77,1,20915,2021-11-14,Active,2021-12-28
100000000420,259,112,2,228704,2023-12-09,Active,2024-09-21
100000000421,260,106,1,213677,2021-07-18,Active,2023-07-17
100000000422,261,19,2,1310076,2017-02-24,Active,2021-09-18
100000000423,261,81,2,1333269,2023-02-21,Active,2024-06-24
100000000424,262,111,1,232696,2016-11-05,Active,2019-11-27
100000000425,262,107,1,203044,2021-07-04,Active,2024-06-30
100000000426,263,43,1,237792,2021-06-18,Active,2026-04-28
100000000427,263,43,1,110194,2020-12-19,Active,2025-02-10
100000000428,264,22,3,92644,2023-04-26,Active,2026-01-18
100000000429,264,67,2,624783,2022-09-14,Active,2023-04-08
100000000430,265,14,1,142326,2025-03-02,Active,2025-05-03
100000000431,266,31,3,219610,2020-09-20,Active,2023-06-19
100000000432,266,18,2,265679,2023-09-22,Active,2025-10-18
100000000433,267,108,1,125863,2018-03-19,Active,2018-04-18
100000000434,267,18,2,560733,2019-07-09,Active,2024-11-21
100000000435,268,75,1,279560,2018-12-01,Active,2023-07-13
100000000436,268,111,4,4182118,2019-07-06,Active,2020-01-16
100000000437,269,29,1,95961,2017-02-26,Active,2021-03-07
100000000438,269,29,3,194172,2018-04-08,Active,2026-01-22
100000000439,270,79,1,76608,2023-03-09,Active,2025-05-18
100000000440,270,72,1,149043,2024-08-12,Active,2026-03-14
100000000441,271,117,1,238205,2025-12-06,Active,2026-03-25
100000000442,272,18,2,1323804,2024-12-22,Active,2025-03-30
100000000443,273,89,1,85545,2022-12-26,Active,2024-09-01
100000000444,273,19,3,71396,2025-06-13,Active,2025-07-19
100000000445,274,56,2,501003,2016-11-29,Active,2020-06-08
