customer_code,first_name,last_name,gender,date_of_birth,email,phone,city,state,annual_income,credit_score,join_date,customer_status
CUST000021,Ananya,Sharma,Female,1962-10-18,ananya.sharma21@gmail.com,7264945112,Kochi,Kerala,1222985,712,2016-08-06,Active
CUST000022,Akash,Mehta,Male,1991-07-09,akash.mehta22@gmail.com,9665030182,Mumbai,Maharashtra,614218,899,2023-03-25,Active
CUST000023,Ananya,Yadav,Female,1960-07-18,ananya.yadav23@gmail.com,6098085772,Bengaluru,Karnataka,2840561,660,2026-02-17,Active
CUST000024,Rohan,Sharma,Male,1961-07-24,rohan.sharma24@gmail.com,9021359990,Mumbai,Maharashtra,1591281,819,2019-10-12,Active
CUST000025,Nandini,Reddy,Female,1961-11-13,nandini.reddy25@gmail.com,6913014034,Chennai,Tamil Nadu,925219,890,2016-12-11,Active
CUST000026,Priya,Reddy,Female,1995-10-21,priya.reddy26@gmail.com,7878854388,Pune,Maharashtra,2701994,898,2020-07-15,Active
CUST000027,Pooja,Verma,Female,1980-12-31,pooja.verma27@gmail.com,8646243538,Chandigarh,Punjab,1185690,348,2023-02-04,Active
CUST000028,Sakshi,Jain,Female,1959-02-13,sakshi.jain28@gmail.com,6298317894,Bengaluru,Karnataka,445715,752,2025-12-04,Active
CUST000029,Varun,Verma,Male,2002-01-02,varun.verma29@gmail.com,7261504487,Bengaluru,Karnataka,2872763,397,2017-05-23,Active
CUST000030,Krishna,Das,Male,1991-12-14,krishna.das30@gmail.com,6630020755,Chandigarh,Punjab,963880,666,2020-09-14,Active
CUST000031,Neha,Chauhan,Female,1999-04-25,neha.chauhan31@gmail.com,6498232964,Indore,Madhya Pradesh,2229726,588,2025-02-16,Active
CUST000032,Anjali,Singh,Female,1999-02-01,anjali.singh32@gmail.com,6965635308,Mumbai,Maharashtra,2374874,415,2021-06-07,Active
CUST000033,Varun,Singh,Male,1997-06-10,varun.singh33@gmail.com,7503799926,Noida,Uttar Pradesh,2391708,788,2022-04-06,Active
CUST000034,Siddharth,Iyer,Male,1986-06-11,siddharth.iyer34@gmail.com,6126090193,Jaipur,Rajasthan,2787188,837,2022-05-04,Active
CUST000035,Rohan,Singh,Male,1987-06-02,rohan.singh35@gmail.com,9038768887,Chandigarh,Punjab,1225903,774,2022-09-04,Inactive
CUST000036,Arjun,Kapoor,Male,1983-05-30,arjun.kapoor36@gmail.com,9779427118,Nagpur,Maharashtra,1596312,422,2023-05-03,Active
CUST000037,Raj,Mehta,Male,2002-04-28,raj.mehta37@gmail.com,8665565763,Bhopal,Madhya Pradesh,1055291,633,2017-07-21,Active
CUST000038,Aditi,Pandey,Female,2005-11-18,aditi.pandey38@gmail.com,6824474051,Pune,Maharashtra,2027511,383,2018-03-23,Active
CUST000039,Mohit,Mishra,Male,1970-11-29,mohit.mishra39@gmail.com,8862733693,Pune,Maharashtra,714576,754,2023-11-22,Inactive
CUST000040,Rahul,Bose,Male,1967-09-08,rahul.bose40@gmail.com,8028576792,Ahmedabad,Gujarat,2764833,343,2020-07-31,Active
CUST000041,Ishita,Sharma,Female,2008-03-01,ishita.sharma41@gmail.com,8135345449,Bengaluru,Karnataka,504763,735,2023-12-11,Inactive
CUST000042,Rahul,Nair,Male,2002-09-10,rahul.nair42@gmail.com,6880388913,Ahmedabad,Gujarat,1365512,559,2025-03-28,Active
CUST000043,Nandini,Kulkarni,Female,2005-01-06,nandini.kulkarni43@gmail.com,7434211541,Jaipur,Rajasthan,365441,572,2024-11-23,Active
CUST000044,Vivaan,Nair,Male,1990-02-25,vivaan.nair44@gmail.com,9092011864,Bengaluru,Karnataka,1728133,422,2020-10-28,Active
CUST000045,Ishita,Joshi,Female,1960-07-08,ishita.joshi45@gmail.com,7024590030,Gurgaon,Haryana,1943529,322,2017-06-28,Active
CUST000046,Ananya,Mishra,Female,1996-07-02,ananya.mishra46@gmail.com,8562472409,Noida,Uttar Pradesh,457180,376,2026-06-17,Active
CUST000047,Radhika,Reddy,Female,1972-09-26,radhika.reddy47@gmail.com,8656291299,Chandigarh,Punjab,1460397,846,2019-04-21,Active
CUST000048,Riya,Gupta,Female,1954-03-20,riya.gupta48@gmail.com,7459866054,Ahmedabad,Gujarat,2318942,709,2021-03-07,Active
CUST000049,Varun,Verma,Male,1998-07-23,varun.verma49@gmail.com,6908012919,Gurgaon,Haryana,990808,378,2018-07-23,Active
CUST000050,Nikhil,Mishra,Male,1999-05-08,nikhil.mishra50@gmail.com,6941300005,Noida,Uttar Pradesh,1655011,716,2017-05-13,Active
CUST000051,Shreya,Jain,Female,2003-09-21,shreya.jain51@gmail.com,9826218812,Indore,Madhya Pradesh,554836,821,2020-03-24,Active
CUST000052,Rishi,Mehta,Male,1971-08-03,rishi.mehta52@gmail.com,7732652210,Kolkata,West Bengal,2071848,340,2025-06-04,Active
CUST000053,Priya,Das,Female,1992-10-09,priya.das53@gmail.com,9539012447,Hyderabad,Telangana,1405392,733,2020-03-08,Inactive
CUST000054,Muskan,Mishra,Female,1994-10-16,muskan.mishra54@gmail.com,8943172645,Kochi,Kerala,429337,807,2026-03-02,Active
CUST000055,Riya,Patel,Female,1974-10-23,riya.patel55@gmail.com,9283042449,Bengaluru,Karnataka,2307826,513,2022-03-06,Active
CUST000056,Aditi,Gupta,Female,1981-07-06,aditi.gupta56@gmail.com,8174601547,Surat,Gujarat,416354,704,2016-09-17,Active
CUST000057,Riya,Iyer,Female,1997-06-05,riya.iyer57@gmail.com,9605893375,Patna,Bihar,1288207,382,2018-06-10,Active
CUST000058,Raj,Nair,Male,1982-11-11,raj.nair58@gmail.com,7935476176,Mumbai,Maharashtra,2766719,594,2019-10-13,Active
CUST000059,Shreya,Bose,Female,2006-06-11,shreya.bose59@gmail.com,8030528257,Pune,Maharashtra,840352,510,2025-06-08,Active
CUST000060,Nandini,Sharma,Female,1958-08-09,nandini.sharma60@gmail.com,7722475006,Mumbai,Maharashtra,714541,891,2020-01-22,Inactive
CUST000061,Akash,Chauhan,Male,1953-06-29,akash.chauhan61@gmail.com,7760881623,Ahmedabad,Gujarat,1547281,603,2023-02-18,Active
CUST000062,Nandini,Kulkarni,Female,1999-10-30,nandini.kulkarni62@gmail.com,9054252153,Chandigarh,Punjab,2238493,418,2018-04-09,Active
CUST000063,Vivaan,Bose,Male,1977-10-06,vivaan.bose63@gmail.com,6087690765,Delhi,Delhi,2383578,738,2019-01-29,Active
CUST000064,Aarav,Verma,Male,1992-08-03,aarav.verma64@gmail.com,6959499247,Bengaluru,Karnataka,1847360,573,2024-08-11,Active
CUST000065,Nikhil,Chauhan,Male,1987-08-06,nikhil.chauhan65@gmail.com,9232517185,Kanpur,Uttar Pradesh,2570459,675,2017-02-28,Active
CUST000066,Ishita,Nair,Female,1998-03-12,ishita.nair66@gmail.com,6317508198,Jaipur,Rajasthan,2020699,537,2024-01-28,Inactive
CUST000067,Aanya,Mehta,Female,1961-06-19,aanya.mehta67@gmail.com,6145790850,Kochi,Kerala,2918914,681,2017-05-04,Active
CUST000068,Sakshi,Mishra,Female,2004-11-09,sakshi.mishra68@gmail.com,6592859648,Bhopal,Madhya Pradesh,2323642,667,2024-07-24,Active
CUST000069,Aman,Verma,Male,2001-11-21,aman.verma69@gmail.com,9415673975,Gurgaon,Haryana,1923416,514,2017-04-20,Active
CUST000070,Ananya,Singh,Female,1963-12-26,ananya.singh70@gmail.com,8266302781,Bengaluru,Karnataka,2139160,652,2020-09-24,Inactive
CUST000071,Radhika,Joshi,Female,1961-03-20,radhika.joshi71@gmail.com,9205850857,Indore,Madhya Pradesh,1281066,888,2018-02-08,Active
CUST000072,Meera,Agarwal,Female,1953-02-27,meera.agarwal72@gmail.com,7140332191,Indore,Madhya Pradesh,678826,460,2018-11-18,Active
CUST000073,Khushi,Kapoor,Female,1964-11-28,khushi.kapoor73@gmail.com,7038880972,Kolkata,West Bengal,1665037,450,2018-01-13,Active
CUST000074,Pooja,Kulkarni,Female,1958-11-15,pooja.kulkarni74@gmail.com,8832262476,Nagpur,Maharashtra,972924,548,2020-10-12,Active
CUST000075,Raj,Mehta,Male,1955-01-18,raj.mehta75@gmail.com,7287246790,Noida,Uttar Pradesh,2604710,587,2023-05-05,Active
CUST000076,Aanya,Kulkarni,Female,1953-01-04,aanya.kulkarni76@gmail.com,7656540979,Kanpur,Uttar Pradesh,2601566,736,2025-09-11,Active
CUST000077,Khushi,Nair,Female,1979-07-07,khushi.nair77@gmail.com,9048833417,Mumbai,Maharashtra,2452385,714,2024-07-26,Active
CUST000078,Aditi,Mishra,Female,1981-02-27,aditi.mishra78@gmail.com,7610565531,Nagpur,Maharashtra,2035869,421,2022-05-07,Active
CUST000079,Arjun,Patel,Male,1997-10-29,arjun.patel79@gmail.com,6669438463,Bhopal,Madhya Pradesh,1090261,475,2024-03-24,Active
CUST000080,Simran,Iyer,Female,1986-02-18,simran.iyer80@gmail.com,6307696074,Lucknow,Uttar Pradesh,1910824,401,2019-10-21,Active
CUST000081,Simran,Iyer,Female,1991-10-09,simran.iyer81@gmail.com,8358265864,Lucknow,Uttar Pradesh,2634447,346,2026-05-13,Active
CUST000082,Aditya,Sharma,Male,1967-08-07,aditya.sharma82@gmail.com,8452694971,Bhopal,Madhya Pradesh,601905,624,2023-08-10,Active
CUST000083,Manav,Das,Male,1960-05-23,manav.das83@gmail.com,8252468036,Hyderabad,Telangana,661175,393,2020-01-19,Active
CUST000084,Muskan,Verma,Female,2006-11-14,muskan.verma84@gmail.com,6016284780,Lucknow,Uttar Pradesh,2815134,647,2023-07-10,Active
CUST000085,Vivaan,Nair,Male,1955-10-09,vivaan.nair85@gmail.com,9176520025,Delhi,Delhi,2947910,853,2021-01-28,Active
CUST000086,Kavya,Chauhan,Female,1977-10-10,kavya.chauhan86@gmail.com,6222595127,Bengaluru,Karnataka,2161562,789,2020-12-06,Active
CUST000087,Anjali,Kulkarni,Female,2007-10-12,anjali.kulkarni87@gmail.com,8376726537,Delhi,Delhi,1915065,879,2018-02-11,Active
CUST000088,Riya,Kulkarni,Female,1963-06-19,riya.kulkarni88@gmail.com,6798005252,Mumbai,Maharashtra,1993336,465,2020-05-16,Active
CUST000089,Raj,Kapoor,Male,1953-09-21,raj.kapoor89@gmail.com,6607323592,Bengaluru,Karnataka,2892200,821,2023-02-22,Active
CUST000090,Neha,Iyer,Female,1968-12-20,neha.iyer90@gmail.com,7237962579,Chandigarh,Punjab,2845087,496,2016-07-19,Active
CUST000091,Radhika,Agarwal,Female,1968-12-17,radhika.agarwal91@gmail.com,9880274572,Delhi,Delhi,1693358,710,2021-09-05,Active
CUST000092,Anjali,Agarwal,Female,1953-01-26,anjali.agarwal92@gmail.com,8398197732,Lucknow,Uttar Pradesh,969256,364,2016-12-11,Active
CUST000093,Nandini,Verma,Female,2006-06-26,nandini.verma93@gmail.com,6146376562,Mumbai,Maharashtra,1631199,842,2025-12-31,Active
CUST000094,Shivam,Singh,Male,1970-07-18,shivam.singh94@gmail.com,6405703102,Ahmedabad,Gujarat,2645073,317,2020-06-12,Active
CUST000095,Raj,Bose,Male,1977-11-26,raj.bose95@gmail.com,8955544351,Noida,Uttar Pradesh,1042239,361,2016-08-31,Active
CUST000096,Shivam,Verma,Male,1994-12-26,shivam.verma96@gmail.com,7976544562,Hyderabad,Telangana,2875819,337,2017-11-11,Active
CUST000097,Ayush,Reddy,Male,1965-06-13,ayush.reddy97@gmail.com,8992130775,Bhopal,Madhya Pradesh,2032098,797,2021-07-27,Active
CUST000098,Shreya,Patel,Female,1994-05-01,shreya.patel98@gmail.com,7593130068,Jaipur,Rajasthan,1869994,494,2016-11-22,Inactive
CUST000099,Manav,Joshi,Male,1956-05-30,manav.joshi99@gmail.com,8943208164,Bengaluru,Karnataka,2433017,330,2026-06-16,Active
CUST000100,Vivaan,Pandey,Male,1974-07-01,vivaan.pandey100@gmail.com,9820309513,Surat,Gujarat,2320928,829,2022-01-05,Active
CUST000101,Karan,Jain,Male,1996-05-09,karan.jain101@gmail.com,9789857895,Chandigarh,Punjab,1782567,381,2024-01-22,Active
CUST000102,Riya,Chauhan,Female,1952-10-17,riya.chauhan102@gmail.com,8446562760,Mumbai,Maharashtra,2290943,584,2019-08-21,Active
CUST000103,Aanya,Kulkarni,Female,1956-03-14,aanya.kulkarni103@gmail.com,8283900514,Chennai,Tamil Nadu,517748,588,2016-11-20,Active
CUST000104,Nikhil,Verma,Male,1997-08-29,nikhil.verma104@gmail.com,9043161194,Kanpur,Uttar Pradesh,2131829,551,2022-07-01,Active
CUST000105,Ritik,Agarwal,Male,2008-01-27,ritik.agarwal105@gmail.com,6061147694,Kanpur,Uttar Pradesh,2083725,489,2025-12-03,Active
CUST000106,Anjali,Iyer,Female,1960-04-11,anjali.iyer106@gmail.com,7152587639,Delhi,Delhi,1887539,622,2019-03-16,Active
CUST000107,Raj,Jain,Male,1997-12-06,raj.jain107@gmail.com,9509468955,Lucknow,Uttar Pradesh,2647082,568,2016-07-22,Active
CUST000108,Pooja,Bose,Female,1996-12-08,pooja.bose108@gmail.com,9865105376,Bengaluru,Karnataka,1290434,630,2016-09-24,Inactive
CUST000109,Shreya,Verma,Female,1998-05-16,shreya.verma109@gmail.com,6762374157,Mumbai,Maharashtra,2898983,445,2021-12-10,Active
CUST000110,Vivaan,Kapoor,Male,1985-01-10,vivaan.kapoor110@gmail.com,9935124478,Hyderabad,Telangana,2860709,702,2023-03-30,Active
CUST000111,Shreya,Gupta,Female,1962-05-17,shreya.gupta111@gmail.com,7700969325,Surat,Gujarat,2456404,397,2022-12-22,Active
CUST000112,Raj,Nair,Male,1976-07-04,raj.nair112@gmail.com,6308267334,Ahmedabad,Gujarat,1768977,692,2024-02-06,Active
CUST000113,Mohit,Yadav,Male,1963-10-19,mohit.yadav113@gmail.com,9894767375,Kanpur,Uttar Pradesh,1046862,632,2020-02-12,Active
CUST000114,Mohit,Nair,Male,1961-06-16,mohit.nair114@gmail.com,6531071525,Bhopal,Madhya Pradesh,2135157,796,2026-04-23,Active
CUST000115,Riya,Joshi,Female,1987-11-26,riya.joshi115@gmail.com,6279492243,Noida,Uttar Pradesh,1700099,509,2021-02-08,Active
CUST000116,Shreya,Gupta,Female,1955-06-25,shreya.gupta116@gmail.com,6220493851,Chandigarh,Punjab,2516659,856,2024-04-13,Active
CUST000117,Khushi,Pandey,Female,1993-07-29,khushi.pandey117@gmail.com,8847481887,Mumbai,Maharashtra,1005976,815,2018-10-25,Active
CUST000118,Krishna,Sharma,Male,1980-04-08,krishna.sharma118@gmail.com,9467381067,Bhopal,Madhya Pradesh,1437046,754,2026-06-12,Active
CUST000119,Meera,Kapoor,Female,1990-04-09,meera.kapoor119@gmail.com,8512011457,Jaipur,Rajasthan,1523628,565,2025-01-30,Active
CUST000120,Akash,Verma,Male,1958-01-22,akash.verma120@gmail.com,8562520038,Surat,Gujarat,848823,417,2021-08-14,Active
CUST000121,Riya,Mehta,Female,1959-01-22,riya.mehta121@gmail.com,7164960357,Hyderabad,Telangana,1445741,352,2018-05-24,Active
CUST000122,Nikhil,Das,Male,1989-11-27,nikhil.das122@gmail.com,8390911798,Kolkata,West Bengal,1971964,838,2020-04-18,Active
CUST000123,Manav,Mishra,Male,1953-09-16,manav.mishra123@gmail.com,8415099736,Kolkata,West Bengal,1898596,769,2023-03-13,Inactive
CUST000124,Neha,Sharma,Female,2005-03-10,neha.sharma124@gmail.com,9422614825,Ahmedabad,Gujarat,269091,556,2024-04-19,Active
CUST000125,Aarav,Jain,Male,1979-10-06,aarav.jain125@gmail.com,8705101056,Chennai,Tamil Nadu,1622224,427,2022-06-24,Active
CUST000126,Riya,Reddy,Female,1956-06-14,riya.reddy126@gmail.com,8495931561,Noida,Uttar Pradesh,1264115,617,2017-09-06,Active
CUST000127,Aditya,Joshi,Male,1953-09-04,aditya.joshi127@gmail.com,7307837667,Chennai,Tamil Nadu,963667,551,2024-01-05,Active
CUST000128,Vivaan,Pandey,Male,1978-10-29,vivaan.pandey128@gmail.com,9382652439,Bengaluru,Karnataka,651949,518,2016-11-03,Active
CUST000129,Ananya,Mehta,Female,1989-01-05,ananya.mehta129@gmail.com,9345540062,Kochi,Kerala,1037793,409,2019-02-15,Active
CUST000130,Ananya,Singh,Female,1983-03-17,ananya.singh130@gmail.com,7881182265,Kanpur,Uttar Pradesh,2239152,519,2018-04-23,Active
CUST000131,Rohan,Das,Male,1997-05-23,rohan.das131@gmail.com,6856289775,Chennai,Tamil Nadu,1537483,451,2018-01-02,Active
CUST000132,Simran,Kulkarni,Female,1970-06-28,simran.kulkarni132@gmail.com,9273843644,Indore,Madhya Pradesh,2596918,537,2018-02-15,Active
CUST000133,Ayush,Kulkarni,Male,1988-04-09,ayush.kulkarni133@gmail.com,9136221375,Bengaluru,Karnataka,2352647,733,2026-02-21,Active
CUST000134,Rishi,Bose,Male,2007-06-13,rishi.bose134@gmail.com,6878149787,Ahmedabad,Gujarat,2408826,516,2019-01-01,Inactive
CUST000135,Vivaan,Verma,Male,1960-01-23,vivaan.verma135@gmail.com,9456564352,Patna,Bihar,1409920,514,2025-12-08,Inactive
CUST000136,Aditya,Bose,Male,1990-04-04,aditya.bose136@gmail.com,7181180365,Jaipur,Rajasthan,1086526,354,2018-12-30,Active
CUST000137,Arjun,Reddy,Male,1962-01-31,arjun.reddy137@gmail.com,8833980428,Mumbai,Maharashtra,2829390,715,2022-08-05,Active
CUST000138,Kavya,Agarwal,Female,2000-08-19,kavya.agarwal138@gmail.com,7805216347,Delhi,Delhi,2065963,437,2026-02-15,Active
CUST000139,Kavya,Das,Female,1976-04-27,kavya.das139@gmail.com,6137865830,Nagpur,Maharashtra,2873470,590,2018-04-10,Active
CUST000140,Khushi,Reddy,Female,1994-06-11,khushi.reddy140@gmail.com,6772728180,Mumbai,Maharashtra,2095658,669,2024-09-27,Active
CUST000141,Shivam,Iyer,Male,2007-10-31,shivam.iyer141@gmail.com,6617226128,Hyderabad,Telangana,1854725,597,2021-12-30,Active
CUST000142,Radhika,Patel,Female,1958-05-25,radhika.patel142@gmail.com,8429212488,Pune,Maharashtra,384429,442,2024-07-12,Inactive
CUST000143,Neha,Nair,Female,2007-04-12,neha.nair143@gmail.com,6845714875,Surat,Gujarat,2075603,542,2021-04-16,Active
CUST000144,Karan,Verma,Male,1965-12-09,karan.verma144@gmail.com,7359857491,Hyderabad,Telangana,2677415,791,2022-06-05,Active
CUST000145,Priya,Iyer,Female,1966-01-28,priya.iyer145@gmail.com,6442926688,Kanpur,Uttar Pradesh,1359409,583,2017-02-04,Active
CUST000146,Priya,Mishra,Female,1951-06-20,priya.mishra146@gmail.com,9640494611,Bengaluru,Karnataka,1262818,331,2020-04-29,Active
CUST000147,Mohit,Kapoor,Male,1984-12-22,mohit.kapoor147@gmail.com,7201955570,Surat,Gujarat,2901853,515,2018-06-04,Active
CUST000148,Vivaan,Bose,Male,1987-10-17,vivaan.bose148@gmail.com,7296296231,Chennai,Tamil Nadu,2664014,875,2018-01-05,Inactive
CUST000149,Pooja,Nair,Female,1959-01-03,pooja.nair149@gmail.com,9016347318,Noida,Uttar Pradesh,1596985,557,2024-06-26,Active
CUST000150,Ananya,Kapoor,Female,1993-06-09,ananya.kapoor150@gmail.com,8109387199,Hyderabad,Telangana,754837,656,2017-05-21,Active
CUST000151,Vivaan,Jain,Male,2000-09-05,vivaan.jain151@gmail.com,8087916200,Kolkata,West Bengal,1014069,890,2024-08-19,Active
CUST000152,Sakshi,Sharma,Female,1974-04-30,sakshi.sharma152@gmail.com,6241945919,Delhi,Delhi,1380825,695,2025-03-09,Active
CUST000153,Ritik,Singh,Male,1982-12-29,ritik.singh153@gmail.com,8918369235,Surat,Gujarat,1776519,475,2019-12-18,Active
CUST000154,Vivaan,Bose,Male,1984-01-05,vivaan.bose154@gmail.com,8499022277,Jaipur,Rajasthan,2800118,364,2017-04-23,Active
CUST000155,Akash,Chauhan,Male,1996-03-06,akash.chauhan155@gmail.com,7678620080,Jaipur,Rajasthan,2329076,353,2025-02-10,Active
CUST000156,Anjali,Mishra,Female,1990-07-10,anjali.mishra156@gmail.com,7069804089,Indore,Madhya Pradesh,1715764,864,2020-11-08,Active
CUST000157,Varun,Nair,Male,1952-07-01,varun.nair157@gmail.com,9413909623,Bhopal,Madhya Pradesh,1787740,662,2025-06-09,Inactive
CUST000158,Shivam,Iyer,Male,1986-03-01,shivam.iyer158@gmail.com,9649958941,Chennai,Tamil Nadu,2964306,607,2018-04-26,Active
CUST000159,Kavya,Singh,Female,1997-05-10,kavya.singh159@gmail.com,7281415238,Pune,Maharashtra,865204,654,2019-08-18,Inactive
CUST000160,Vivaan,Patel,Male,1953-03-12,vivaan.patel160@gmail.com,7751888841,Bhopal,Madhya Pradesh,1841640,453,2026-05-04,Active
CUST000161,Krishna,Bose,Male,1998-08-25,krishna.bose161@gmail.com,8439474069,Kanpur,Uttar Pradesh,432223,472,2020-06-16,Active
CUST000162,Ayush,Das,Male,1982-01-04,ayush.das162@gmail.com,6732827649,Bhopal,Madhya Pradesh,2141357,462,2016-09-08,Inactive
CUST000163,Diya,Mehta,Female,1958-04-01,diya.mehta163@gmail.com,6194796891,Nagpur,Maharashtra,1661298,495,2020-04-16,Active
CUST000164,Aanya,Pandey,Female,1975-06-26,aanya.pandey164@gmail.com,7250228233,Chennai,Tamil Nadu,1972899,452,2021-12-17,Active
CUST000165,Vivaan,Nair,Male,1958-09-04,vivaan.nair165@gmail.com,6168827199,Kolkata,West Bengal,1494356,311,2021-08-09,Active
CUST000166,Arjun,Agarwal,Male,1957-07-24,arjun.agarwal166@gmail.com,6761771713,Patna,Bihar,1469592,512,2021-09-17,Active
CUST000167,Vivaan,Verma,Male,1971-04-03,vivaan.verma167@gmail.com,9156464258,Kolkata,West Bengal,1151026,357,2023-12-12,Active
CUST000168,Priya,Nair,Female,1992-09-25,priya.nair168@gmail.com,7869705156,Indore,Madhya Pradesh,687141,468,2019-10-08,Active
CUST000169,Krishna,Mishra,Male,1972-08-26,krishna.mishra169@gmail.com,7578451350,Chennai,Tamil Nadu,303556,375,2018-01-01,Active
CUST000170,Meera,Mehta,Female,1961-02-27,meera.mehta170@gmail.com,9310883685,Surat,Gujarat,2816738,556,2022-05-04,Active
CUST000171,Kavya,Singh,Female,1991-02-12,kavya.singh171@gmail.com,7275675931,Hyderabad,Telangana,283065,473,2019-02-10,Active
CUST000172,Raj,Pandey,Male,1963-07-26,raj.pandey172@gmail.com,9204644055,Noida,Uttar Pradesh,1084625,619,2023-09-17,Active
CUST000173,Priya,Verma,Female,1956-01-28,priya.verma173@gmail.com,7155991220,Kanpur,Uttar Pradesh,2870030,354,2017-12-28,Active
CUST000174,Aanya,Kapoor,Female,1971-12-11,aanya.kapoor174@gmail.com,7588528571,Ahmedabad,Gujarat,2922894,536,2019-12-19,Active
CUST000175,Akash,Agarwal,Male,1971-11-25,akash.agarwal175@gmail.com,6524631862,Nagpur,Maharashtra,2055591,771,2021-01-20,Active
CUST000176,Aanya,Pandey,Female,1960-11-16,aanya.pandey176@gmail.com,6657660803,Delhi,Delhi,568101,585,2018-05-21,Active
CUST000177,Arjun,Gupta,Male,1980-09-10,arjun.gupta177@gmail.com,8702616693,Bhopal,Madhya Pradesh,394118,786,2016-10-09,Inactive
CUST000178,Raj,Kapoor,Male,1964-06-03,raj.kapoor178@gmail.com,9219139964,Bengaluru,Karnataka,1482765,876,2025-05-02,Inactive
CUST000179,Krishna,Kapoor,Male,1961-07-18,krishna.kapoor179@gmail.com,7192406514,Gurgaon,Haryana,2369067,746,2024-07-14,Inactive
CUST000180,Muskan,Jain,Female,2001-01-14,muskan.jain180@gmail.com,9822884964,Mumbai,Maharashtra,2342319,382,2017-03-21,Inactive
CUST000181,Neha,Pandey,Female,2007-03-20,neha.pandey181@gmail.com,7134531278,Mumbai,Maharashtra,1040848,406,2025-09-23,Active
CUST000182,Ayush,Das,Male,1980-07-18,ayush.das182@gmail.com,9158020231,Nagpur,Maharashtra,1871397,422,2022-06-18,Active
CUST000183,Nandini,Verma,Female,1950-12-31,nandini.verma183@gmail.com,9366673304,Patna,Bihar,2323740,521,2017-11-30,Active
CUST000184,Diya,Iyer,Female,1984-05-02,diya.iyer184@gmail.com,6040731807,Indore,Madhya Pradesh,2624848,499,2017-07-14,Active
CUST000185,Sneha,Kulkarni,Female,1979-06-11,sneha.kulkarni185@gmail.com,9130162958,Chennai,Tamil Nadu,661594,839,2022-12-28,Active
CUST000186,Vivaan,Joshi,Male,1961-01-21,vivaan.joshi186@gmail.com,8158442150,Lucknow,Uttar Pradesh,2508562,368,2019-10-22,Active
CUST000187,Raj,Jain,Male,1980-02-29,raj.jain187@gmail.com,6860201926,Nagpur,Maharashtra,685644,871,2019-07-27,Active
