customer_id,card_number,card_type,credit_limit,outstanding_amount,due_date
9,1340498434759471,MasterCard,500000,381621,2026-07-04
6,6860611837959056,RuPay,1000000,290245,2026-07-24
6,9351399264422643,MasterCard,500000,62367,2026-07-28
3,6605988494913180,American Express,50000,5365,2026-07-18
3,7345087070057227,Visa,100000,22487,2026-08-05
9,7605094613568102,American Express,1000000,506497,2026-07-30
10,7397595939993,American Express,200000,18780,2026-07-25
2,9780946116313054,American Express,200000,129455,2026-07-31
8,6713672271776362,Visa,1000000,306039,2026-07-06
10,4583247269611400,Visa,100000,9117,2026-08-18
8,8906227593172034,RuPay,1000000,87976,2026-08-14
1,5257329275749609,Visa,1000000,36650,2026-08-29
9,7052173420163932,RuPay,50000,6014,2026-07-04
7,4864536486861141,Visa,1000000,897747,2026-07-14
5,9505561887891180,RuPay,50000,40080,2026-07-07
1,6209886171173322,MasterCard,500000,393569,2026-08-15
1,3633881175416033,RuPay,500000,31982,2026-07-05
5,4428397955868393,Visa,500000,48468,2026-08-04
8,9333128411012870,RuPay,500000,320956,2026-08-27
4,4782898400517674,American Express,500000,20394,2026-07-30
10,4213252250164065,RuPay,50000,6671,2026-07-12
3,2639250262456145,Visa,500000,430639,2026-07-26
3,8433286271823939,MasterCard,500000,84688,2026-08-10
5,6352997095887738,MasterCard,100000,9364,2026-07-16
9,4138260636124275,RuPay,50000,36058,2026-07-19
2,8730302312579397,RuPay,1000000,744478,2026-07-30
10,6099665289804181,American Express,100000,12888,2026-08-01
10,6870765659311397,RuPay,200000,13721,2026-07-05
7,7673502648187650,RuPay,50000,44405,2026-08-09
4,5103043220767783,RuPay,200000,193827,2026-08-18
9,501715464619261,American Express,100000,8198,2026-08-22
7,7290419200450197,Visa,50000,367,2026-08-22
6,6294696667928446,MasterCard,1000000,280595,2026-07-16
8,2142928516429294,MasterCard,50000,44122,2026-08-08
2,2252296912621350,RuPay,1000000,17632,2026-08-28
9,8410048828364635,American Express,50000,19689,2026-07-14
4,3090646441727669,MasterCard,50000,23644,2026-07-18
4,9920265319459882,Visa,500000,57168,2026-07-08
8,1290570264401899,MasterCard,50000,32016,2026-08-18
7,6034532557854577,American Express,500000,232842,2026-08-10
8,7963967350007841,RuPay,1000000,790439,2026-08-19
8,9891285166423707,RuPay,50000,16453,2026-08-16
7,817559377926139,MasterCard,100000,13559,2026-08-27
2,2673389116334085,RuPay,1000000,31616,2026-08-27
4,290152173528113,American Express,50000,39614,2026-07-09
8,9447532638494356,Visa,1000000,859048,2026-08-27
5,5256254430006403,RuPay,200000,155503,2026-07-12
2,6121056872970366,RuPay,50000,2416,2026-07-03
3,3271609207604153,Visa,500000,476790,2026-07-05
10,1098894952154166,Visa,500000,145816,2026-07-07
8,9871645739532440,American Express,50000,41158,2026-08-24
4,4672734410762486,RuPay,1000000,66937,2026-08-04
3,933631797920767,American Express,1000000,111892,2026-08-20
10,7034221127769310,Visa,100000,265,2026-08-16
10,7151402097440777,Visa,200000,158968,2026-07-06
7,1833809345585246,RuPay,100000,90081,2026-08-26
4,3347076605004328,RuPay,1000000,40021,2026-07-30
7,3812503183396413,MasterCard,200000,5324,2026-08-12
5,1287060906462111,RuPay,200000,76469,2026-08-02
8,9167193787097516,RuPay,500000,336839,2026-07-16
3,6006020205333878,MasterCard,1000000,84555,2026-07-08
6,5192390335952481,Visa,500000,255608,2026-07-12
1,7211378836271047,MasterCard,100000,82780,2026-07-21
9,5963359784746362,Visa,100000,8212,2026-08-28
4,6199179286694540,American Express,50000,40792,2026-07-08
9,9056736022692761,RuPay,500000,391186,2026-08-10
8,5677640539582629,American Express,100000,85417,2026-08-29
7,6126456241157218,Visa,1000000,99865,2026-07-24
4,3089183395649508,MasterCard,200000,107843,2026-08-01
2,9915709158965329,MasterCard,200000,100430,2026-07-09
4,2090353610477187,MasterCard,200000,42700,2026-08-17
6,5932204680644466,RuPay,200000,44703,2026-07-03
7,9167614752113339,American Express,500000,64828,2026-08-23
8,8229276738478336,American Express,500000,445904,2026-08-25
3,3034392991296889,Visa,100000,62050,2026-07-07
6,302917906007677,American Express,100000,97500,2026-07-12
8,5412135639587504,MasterCard,500000,339214,2026-08-07
10,1087034072782514,RuPay,50000,35416,2026-08-23
9,8102649996008978,Visa,1000000,751763,2026-08-07
3,8290227972695951,Visa,1000000,538637,2026-07-13
3,2840790077302822,RuPay,50000,29143,2026-07-06
8,8000400777406615,RuPay,1000000,461126,2026-08-13
4,1190322250082467,RuPay,200000,153321,2026-08-13
5,6957822842846292,Visa,100000,98092,2026-07-27
4,9733744956796656,MasterCard,50000,24725,2026-07-21
2,9375990374506151,American Express,100000,72799,2026-07-23
3,858882609082790,RuPay,200000,29319,2026-07-05
5,8894571674683254,Visa,50000,11711,2026-08-30
10,4668337561605685,MasterCard,1000000,699120,2026-08-22
9,1438854268214413,RuPay,500000,275605,2026-08-06
2,5667763556206424,MasterCard,1000000,286251,2026-07-10
9,275019240125634,American Express,500000,240448,2026-07-19
2,5010218879663366,Visa,50000,11121,2026-08-27
5,337624993350648,MasterCard,100000,84111,2026-07-12
1,9579371349953043,RuPay,200000,50626,2026-08-08
2,2710841365214094,RuPay,50000,48792,2026-07-09
3,4417871260699128,MasterCard,500000,245942,2026-08-30
5,1700079908320639,MasterCard,100000,14314,2026-07-03
2,5686111045179501,MasterCard,100000,91065,2026-08-28
5,7875788966005294,American Express,100000,32224,2026-08-30
3,4230296638014205,Visa,50000,40891,2026-07-20
2,4834299388190281,American Express,100000,62159,2026-08-29
1,3240149185142510,MasterCard,200000,198816,2026-08-09
10,5254911176311187,Visa,50000,14840,2026-07-31
8,4728616856129794,American Express,50000,2614,2026-08-27
8,2389124368879520,MasterCard,1000000,752060,2026-08-19
8,4468633868751840,MasterCard,50000,9152,2026-08-21
9,8782643008419574,RuPay,100000,26131,2026-08-03
3,3197628963670923,RuPay,50000,6393,2026-07-12
8,3187387755092981,RuPay,500000,397291,2026-07-16
9,4264099531844064,MasterCard,100000,68088,2026-07-09
7,7076966589942243,American Express,500000,47611,2026-07-13
6,5091810664178976,RuPay,100000,6649,2026-08-22
9,7134380402177932,MasterCard,100000,26799,2026-08-20
1,3731334547093627,American Express,50000,6707,2026-08-23
5,1292966261956263,Visa,100000,23762,2026-07-31
9,4321936206205394,MasterCard,200000,72093,2026-08-07
1,3422500124192527,MasterCard,200000,171447,2026-08-03
2,5428776940427937,American Express,500000,4977,2026-08-03
8,7594036127570897,RuPay,50000,34077,2026-07-19
5,8096688193896997,Visa,200000,182798,2026-08-16
7,2991837345726082,American Express,500000,70283,2026-08-19
6,1172274702017343,RuPay,200000,185900,2026-07-21
9,3686537224851965,RuPay,200000,8414,2026-08-05
5,8952827053539959,American Express,500000,338276,2026-08-12
1,924820626449749,RuPay,100000,57676,2026-07-15
8,4704864119522678,American Express,200000,37350,2026-08-24
10,9253715360675413,American Express,50000,9418,2026-08-22
5,9503597779482162,RuPay,100000,32976,2026-08-30
10,1417995369121025,Visa,50000,8644,2026-08-26
10,8010951570496479,RuPay,100000,91790,2026-07-15
2,7922086904998948,MasterCard,500000,212013,2026-07-30
7,4674849867592406,MasterCard,100000,4611,2026-08-02
5,9539683734851423,RuPay,50000,7102,2026-07-17
10,6796562855068025,RuPay,500000,403065,2026-07-11
2,2571928334682250,Visa,1000000,646766,2026-08-29
5,3193237166495245,RuPay,200000,194566,2026-07-14
2,4886195794466345,MasterCard,200000,17679,2026-07-31
1,3219305841103811,RuPay,50000,3253,2026-07-30
4,3970949236853877,MasterCard,500000,146723,2026-08-24
10,7395782285187760,Visa,1000000,715349,2026-08-26
1,6401527479579524,MasterCard,1000000,869815,2026-08-23
5,4917761318908767,American Express,1000000,589268,2026-07-11
10,7080668319416152,American Express,200000,36934,2026-07-26
8,9066259110890178,RuPay,200000,65847,2026-08-16
1,1955616700856865,American Express,100000,14215,2026-08-26
2,4516656347499921,Visa,200000,74266,2026-07-04
1,4495506370187708,MasterCard,200000,165918,2026-07-26
8,3479032422306436,MasterCard,100000,75647,2026-07-04
7,3321183422891487,Visa,200000,112918,2026-08-03
1,3339119362050833,American Express,50000,17669,2026-08-16
10,1389680502209965,Visa,50000,14529,2026-07-13
7,3917107647265347,Visa,200000,44963,2026-07-21
4,4428958121529058,RuPay,50000,42280,2026-08-01
10,627787490737399,Visa,1000000,942333,2026-08-15
2,1726361192312343,RuPay,100000,62895,2026-07-11
7,985668710722687,Visa,500000,415529,2026-07-23
4,9955170513848358,RuPay,200000,63887,2026-07-31
6,1921072707926768,American Express,100000,45805,2026-07-21
1,8644777250510487,American Express,500000,331106,2026-07-24
8,718534932377582,RuPay,200000,92751,2026-07-07
10,8486272183256982,American Express,100000,90768,2026-08-30
10,2916536796862097,RuPay,100000,84822,2026-07-07
8,3591538385851720,Visa,200000,67365,2026-08-25
3,1559490375312476,RuPay,200000,38450,2026-08-01
1,5847338234848390,American Express,50000,5397,2026-07-12
7,7204008769943754,Visa,500000,78484,2026-08-15
3,9357948756635922,Visa,1000000,699117,2026-08-03
3,6958245517613696,MasterCard,1000000,737344,2026-08-31
7,9030803236253887,MasterCard,1000000,461206,2026-07-11
8,4075951135995066,RuPay,100000,10015,2026-08-13
5,9566620239326360,Visa,200000,90867,2026-07-07
6,9272087945904283,RuPay,100000,43242,2026-07-19
1,798709459944619,RuPay,1000000,202058,2026-07-23
7,3265832559394271,MasterCard,100000,34903,2026-07-12
1,9143335697011565,MasterCard,500000,423364,2026-07-09
1,951263098223155,MasterCard,200000,3001,2026-07-29
8,2085216100646945,Visa,1000000,629275,2026-07-31
2,7305480018787044,MasterCard,200000,114473,2026-08-16
5,9367186335787997,Visa,100000,71741,2026-08-18
1,4602731111660179,MasterCard,50000,14554,2026-08-01
1,7571623810315206,RuPay,50000,9191,2026-08-05
2,8400325246548230,American Express,500000,164990,2026-08-14
2,578250219220003,MasterCard,100000,72987,2026-08-04
3,5363837191636747,RuPay,200000,50916,2026-07-30
1,3241055394202777,RuPay,50000,31897,2026-08-08
6,8313031008735577,RuPay,200000,106099,2026-08-14
2,7911472105104045,RuPay,500000,204362,2026-08-01
1,2588830687681563,Visa,50000,19465,2026-08-26
3,2290395638016071,MasterCard,1000000,104412,2026-08-09
5,2376281227100429,MasterCard,1000000,522851,2026-07-27
5,5546841601412062,American Express,500000,486402,2026-08-26
2,7284717358545279,RuPay,50000,39166,2026-07-14
10,7840908345184374,American Express,50000,11702,2026-07-22
7,4626883184363217,MasterCard,50000,42687,2026-07-26
3,5703652610039124,MasterCard,200000,167055,2026-07-14
8,9043186164470643,MasterCard,500000,71250,2026-08-28
6,4764875815814752,American Express,200000,32020,2026-07-30
8,5363016309401859,American Express,1000000,630041,2026-07-29
1,1214927167070298,Visa,1000000,878811,2026-07-12
3,647711263578764,RuPay,50000,18263,2026-07-26
5,5915001757517076,MasterCard,50000,6917,2026-07-07
8,5041365599455021,MasterCard,50000,31141,2026-07-24
5,1057238431072748,RuPay,100000,8524,2026-07-23
10,8665633236092676,Visa,1000000,735699,2026-07-08
3,7717492440833027,RuPay,100000,69019,2026-08-29
9,5785259539549878,American Express,500000,493711,2026-08-19
9,707017370340469,American Express,200000,3279,2026-07-27
2,8847409757285187,RuPay,1000000,651451,2026-07-26
2,6265441987628210,RuPay,1000000,7093,2026-07-14
4,1633947021035349,MasterCard,50000,14247,2026-07-30
7,8757353368395761,American Express,1000000,366533,2026-07-08
2,3273033846344519,American Express,1000000,479026,2026-07-20
2,1028966878690361,American Express,500000,410970,2026-08-13
4,6955073628612404,RuPay,1000000,389063,2026-07-08
5,3993757136074105,Visa,1000000,330574,2026-08-30
10,3089874050342685,RuPay,100000,35586,2026-08-26
4,4471486676701330,Visa,500000,105125,2026-08-27
9,1139165889128758,MasterCard,100000,51628,2026-07-07
1,8644228277702760,RuPay,100000,98179,2026-07-11
9,8929565104518576,MasterCard,1000000,69687,2026-07-28
3,4390347000475297,RuPay,1000000,102093,2026-07-08
6,5688231807459343,Visa,200000,52502,2026-07-30
9,9934741892928246,MasterCard,500000,388812,2026-07-27
2,942641960285784,American Express,50000,42238,2026-08-14
10,7720047513196484,Visa,200000,198684,2026-08-20
7,6604546423660663,Visa,1000000,348499,2026-08-15
3,5974123412311053,American Express,100000,98159,2026-08-06
8,8429765350930001,MasterCard,1000000,373063,2026-07-19
2,3404614913382778,American Express,500000,349046,2026-08-27
7,4629331868134586,Visa,200000,115298,2026-08-01
9,2748143116532018,RuPay,500000,55840,2026-07-07
4,2642284871896510,RuPay,1000000,712468,2026-07-31
9,815550042863184,Visa,500000,297845,2026-08-05
6,7923659548307061,RuPay,200000,1630,2026-07-10
6,6836044995703828,Visa,50000,35346,2026-08-11
1,2774273912445616,MasterCard,200000,63675,2026-07-17
2,3028214123281410,RuPay,100000,56405,2026-08-21
1,3753460839484474,RuPay,500000,470254,2026-08-24
8,9836273944327356,RuPay,500000,76115,2026-08-14
2,8123317192888321,Visa,100000,89462,2026-08-14
1,1376536981273927,MasterCard,200000,141014,2026-07-18
7,4979679017008417,MasterCard,1000000,514534,2026-08-21
1,6244385440834408,American Express,100000,52334,2026-08-02
7,5943209058560819,Visa,50000,2799,2026-07-07
6,175317409949210,RuPay,200000,25511,2026-08-29
7,5243838068466863,MasterCard,1000000,908538,2026-08-31
9,2690697092988408,Visa,50000,38884,2026-08-11
2,7428867672764328,MasterCard,50000,12657,2026-07-28
3,206278679332774,MasterCard,200000,109009,2026-07-24
1,9671259033959695,RuPay,100000,36004,2026-07-19
7,1957745094362249,RuPay,50000,25499,2026-08-30
6,3195101061472507,American Express,100000,46893,2026-08-03
5,402006969185454,MasterCard,200000,89069,2026-07-31
5,2034589930599137,Visa,1000000,920202,2026-07-08
5,3869880359309954,RuPay,200000,153076,2026-07-24
7,2526540765785443,Visa,200000,174606,2026-07-08
8,7842567679980053,MasterCard,500000,149018,2026-07-31
7,1877508168445892,American Express,1000000,398497,2026-08-02
2,4920886357804937,MasterCard,100000,57622,2026-07-18
5,6620507343292506,RuPay,50000,5617,2026-07-21
4,1335103242697649,American Express,100000,37400,2026-07-04
2,5592706007171102,American Express,200000,92056,2026-08-19
1,4509228662868305,RuPay,50000,10123,2026-08-11
5,7021826665968624,American Express,100000,54162,2026-07-13
6,820454439390480,MasterCard,50000,6148,2026-07-28
3,5350575579506747,Visa,1000000,179409,2026-07-12
10,9958689858167344,RuPay,200000,20826,2026-07-03
1,2606699574651429,RuPay,100000,26284,2026-07-12
10,8356422855071342,American Express,500000,27436,2026-07-31
3,1879568153661999,MasterCard,1000000,113117,2026-08-08
10,4848579888441065,Visa,500000,62823,2026-08-30
1,7587636020944937,RuPay,50000,2937,2026-07-08
6,3355719119281230,MasterCard,500000,17695,2026-08-12
2,8151105890129031,MasterCard,1000000,587683,2026-08-07
9,4117701694473596,Visa,1000000,777885,2026-08-14
8,2200463677126445,RuPay,100000,40026,2026-08-04
7,8287220245528345,American Express,200000,105428,2026-08-13
10,7259055656639065,Visa,100000,40941,2026-08-20
8,2758425740360577,American Express,1000000,929342,2026-07-05
10,6517944781047403,MasterCard,100000,92584,2026-07-10
1,1139178681034325,RuPay,50000,32334,2026-08-01
7,2532282496457705,Visa,1000000,536079,2026-07-13
4,618984799381621,RuPay,50000,8864,2026-08-14
9,5427383224618823,Visa,1000000,728128,2026-08-18
4,2454165188352124,Visa,100000,3702,2026-07-24
10,5001315584163661,RuPay,50000,31832,2026-07-24
4,7858355276030556,American Express,50000,32636,2026-08-21
10,6437264913715812,RuPay,1000000,495163,2026-08-12
10,8986445500684388,Visa,1000000,196688,2026-07-04
4,6393774453012327,MasterCard,1000000,791596,2026-07-10
4,121859449132705,RuPay,200000,13706,2026-07-13
9,3396669276219059,RuPay,500000,152227,2026-07-28
3,9764963610868012,Visa,500000,286123,2026-07-13
1,8229606205280693,Visa,500000,136686,2026-08-05
8,8906648706832927,American Express,200000,43742,2026-08-11
8,6684054044804775,RuPay,50000,4412,2026-07-23
1,5679233438325975,Visa,200000,167316,2026-08-04
10,3511670772269801,Visa,500000,29662,2026-07-03
7,3647863087545670,MasterCard,1000000,251068,2026-07-29
9,1767785879358556,American Express,500000,287291,2026-08-10
8,7095737844896730,Visa,50000,20426,2026-08-23
6,3600544292083165,Visa,200000,120207,2026-07-21
3,9700452084430502,Visa,50000,27125,2026-07-30
6,3233878993588564,Visa,200000,134161,2026-07-09
8,5332395589685277,American Express,50000,39587,2026-08-21
8,3607945894628597,RuPay,1000000,491696,2026-08-08
7,8684507875271404,MasterCard,50000,7247,2026-07-13
9,197740751163479,RuPay,50000,28126,2026-07-26
8,604299894436378,Visa,1000000,421240,2026-08-16
3,5987173740888971,American Express,1000000,795819,2026-08-11
4,2920430233438582,MasterCard,100000,29042,2026-07-10
2,7795731235838986,RuPay,1000000,665407,2026-07-25
9,6516987511348750,American Express,100000,82558,2026-08-10
1,575718285713840,American Express,1000000,964466,2026-08-14
4,7067114519920180,RuPay,100000,35011,2026-08-22
9,5886891292679248,Visa,100000,53095,2026-07-13
2,9831527677072236,RuPay,1000000,624148,2026-07-22
6,8669627084298656,MasterCard,100000,32400,2026-08-05
7,749895688931560,American Express,100000,59903,2026-08-27
1,112065439398878,MasterCard,50000,46639,2026-08-04
10,292106468640310,RuPay,50000,9070,2026-07-31
5,6339895854633487,MasterCard,500000,389252,2026-08-24
8,2003001554857911,American Express,200000,170484,2026-07-26
9,316218546681508,RuPay,200000,70104,2026-07-25
5,4632388074066238,Visa,200000,42224,2026-08-14
6,2615306128532759,MasterCard,200000,34245,2026-08-15
4,3499711593855115,American Express,1000000,886249,2026-08-02
10,598321953720828,RuPay,200000,31486,2026-07-07
4,2317794296577206,American Express,1000000,492404,2026-08-05
3,8839629396547605,MasterCard,50000,10131,2026-08-09
1,2903956327265120,American Express,100000,55502,2026-07-22
9,769396531580596,RuPay,1000000,363474,2026-08-10
7,5636317169460093,RuPay,100000,86876,2026-07-03
4,6564520453793139,MasterCard,100000,67622,2026-07-12
7,9076684038183977,American Express,1000000,335457,2026-08-10
5,895108092578531,Visa,1000000,836449,2026-07-14
8,3479237570008749,MasterCard,200000,150939,2026-07-12
10,3246790016395562,RuPay,1000000,606852,2026-08-29
10,4431355768488342,American Express,50000,17988,2026-07-29
10,4948361361899440,RuPay,100000,37075,2026-07-08
1,7776911254978057,RuPay,500000,127285,2026-08-21
5,5847875709865179,RuPay,500000,133027,2026-07-04
6,6444945953520012,American Express,500000,176851,2026-07-25
8,4955435788289004,American Express,500000,466322,2026-08-08
2,4928065865407214,Visa,1000000,779580,2026-08-04
1,5114348674952218,American Express,200000,55601,2026-08-30
9,6684852816257171,RuPay,100000,23424,2026-07-31
3,5280188657799056,Visa,1000000,687509,2026-08-11
8,6937748658028313,MasterCard,100000,26567,2026-07-11
1,2580844200127135,American Express,1000000,538473,2026-07-30
7,1687898173070044,MasterCard,50000,31161,2026-08-11
4,3491116843528937,American Express,500000,476374,2026-07-22
9,1544019333822221,MasterCard,200000,161259,2026-08-01
8,4395244865842958,RuPay,200000,165266,2026-08-04
8,8409671745164229,American Express,500000,127765,2026-07-19
7,8187497664618804,American Express,100000,71101,2026-07-09
4,2782726779392057,RuPay,500000,408320,2026-07-08
4,3386557194892603,RuPay,100000,43904,2026-08-06
8,9959037424898430,Visa,200000,1884,2026-08-12
3,9420749318820975,MasterCard,200000,75597,2026-07-16
9,1431215703866136,RuPay,50000,3239,2026-07-19
